URI_Name;Provincia;Canton;Parroquia;Latitud;Longitud;Nombre;Direccion;Tipo;RegimenEscolar;Modalidad;JornadaLaboral;DocentesFemenino;DocentesMasculino;TotalDocentes;TotalAdministrativos;EstudiantesFemenino;EstudiantesMasculino;Total_Alumnos
COLEGIODEBACHILLERATODRZOILORODRIGUEZ;Loja_Province;SOZORANGA;TACAMOROS;-4,421946453;-79,74113624;COLEGIO DE BACHILLERATO DR ZOILO RODRIGUEZ;   PARROQUIA TACAMOROS UBICADO   A DIEZ KILOMETROS DE FRONTERA;FiscalHighSchool;Costa;Presencial;Matutina;5;7;12;5;50;74;124
COLEGIODEBACHILLERATOECUADOR;Loja_Province;ESPINDOLA;27DEABRIL;-4,441865282;-79,45705933;COLEGIO DE BACHILLERATO ECUADOR;   VIA PRINCIPAL CARIAMANGA-AMALUZA DESVIA EN EL SITIO LAS LIMAS 3 KM;FiscalHighSchool;Costa;Presencial;Matutina;3;8;11;4;97;122;219
COLEGIODEBACHILLERATOEDMUNDOCEVALLOSAGUIRRE;Loja_Province;CALVAS;COLAISACA;-4,31874867;-79,69378106;COLEGIO DE BACHILLERATO EDMUNDO CEVALLOS AGUIRRE;   LOCALIDAD COLAISACA;FiscalHighSchool;Costa;Presencial;Matutina;1;7;8;6;25;35;60
COLEGIODEBACHILLERATOELCISNE;Loja_Province;LOJA;ELCISNE;-3,84949797;-79,42022156;COLEGIO DE BACHILLERATO EL CISNE;   VIA A GUALEL BARRIO LA CONCHA EL CISNE;FiscalHighSchool;Sierra;Presencial;Matutina;3;5;8;3;48;44;92
COLEGIODEBACHILLERATOELLIMO;Loja_Province;PUYANGO;ELLIMO(MARIANADEJESUS);-3,986552655;-80,13825292;COLEGIO DE BACHILLERATO EL LIMO;   KM   11/2 VIA A MANGAHURCO MARGEN DERECHO PARROQUIA EL LIMO;FiscalHighSchool;Costa;Presencial;Matutina;10;2;12;4;73;79;152
COLEGIODEBACHILLERATOEMILIANOABENDAnOGONZALEZ;Loja_Province;CATAMAYO;ELTAMBO;-4,144447994;-79,29333228;COLEGIO DE BACHILLERATO EMILIANO ABENDAÑO GONZALEZ;   Barrio La Merced Alta;FiscalHighSchool;Costa;Presencial;Matutina;3;5;8;3;50;66;116
COLEGIODEBACHILLERATOEMILIANOORTEGAESPINOZA;Loja_Province;CATAMAYO;CATAMAYO;-3,985779994;-79,36336136;COLEGIO DE BACHILLERATO EMILIANO ORTEGA ESPINOZA;DIEZ Y OCHO DE AGOSTO  OLMEDO Y EUGENIO ESPEJO ;FiscalHighSchool;Sierra;Presencial;Matutina;33;20;53;8;645;807;1452
COLEGIODEBACHILLERATOFISCOMISIONALGABRIELGARCIAMORENO;Loja_Province;ESPINDOLA;ELINGENIO;-4,410831334;-79,43277869;COLEGIO DE BACHILLERATO FISCOMISIONAL  GABRIEL GARCIA MORENO;   A 200M DE LA VIA AMALUZA PASANDO LA VIA PRINCIPAL A MANO IZQUIERDA;FiscomitionalHighSchool;Costa;Presencial;Matutina;7;8;15;3;108;109;217
COLEGIODEBACHILLERATOFISCOMISIONALDANIELALVAREZBURNEO;Loja_Province;LOJA;VALLE;-3,987918158;-79,20119734;COLEGIO DE BACHILLERATO FISCOMISIONAL DANIEL ALVAREZ BURNEO;AV DANIEL ALVAREZ 12-51 AV ORILLAS DEL ZAMORA ;FiscomitionalHighSchool;Sierra;Presencial;Matutina;85;75;160;31;1.629;1404;3033
COLEGIODEBACHILLERATOFISCOMISIONALNUESTRASEnORADELROSARIO;Loja_Province;CATAMAYO;CATAMAYO;-3,985747544;-79,36069603;COLEGIO DE BACHILLERATO FISCOMISIONAL NUESTRA SEÑORA DEL ROSARIO;9 DE OCTUBRE  EUGENIO ESPEJO ;FiscomitionalHighSchool;Sierra;Presencial;Matutina;41;18;59;4;676;323;999
COLEGIODEBACHILLERATOGALOROLANDOVELEZRIVERA;Loja_Province;ZAPOTILLO;PALETILLAS;-4,163887931;-80,27322476;COLEGIO DE BACHILLERATO GALO ROLANDO VELEZ RIVERA;   PARROQUIA PALETILLAS;FiscalHighSchool;Costa;Presencial;Matutina;7;5;12;2;102;108;210
